DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,season,post_season_qualification
"Wed, 16 Feb",vsNew Orleans,W102-89,25-29,Ellis  21,Udoh  7,Curry  8,2010/2011,not qualified
"Thu, 17 Feb",@ Utah,W107-100,26-29,Ellis  35,Biedrins  9,Ellis  7,2010/2011,not qualified
"Wed, 23 Feb",vs Boston,L115-93,26-30,Wright  19,Wright  6,Law  5,2010/2011,not qualified
"Sat, 26 Feb",vs Atlanta,L95-79,26-31,Lee  20,Lee  10,Ellis  5,2010/2011,not qualified
"Sun, 27 Feb",@ Minnesota,L126-123,26-32,Curry  33,Curry  11,Ellis  8,2010/2011,not qualified
"Wed, 2 Mar",@ Indiana,L109-100,26-33,Williams  25,Lee  11,Curry  7,2010/2011,not qualified
"Thu, 3 Mar",@ Washington,W106-102,27-33,Curry  29,Lee  16,Lee  6,2010/2011,not qualified
"Sat, 5 Mar",@ Boston,L107-103,27-34,Ellis  41,Lee  12,Curry  5,2010/2011,not qualified
"Sun, 6 Mar",@ Philadelphia,L125-117 OT,27-35,Ellis  27,Lee  14,Curry  7,2010/2011,not qualified
"Wed, 9 Mar",@ Cleveland,W95-85,28-35,Ellis  24,Lee  14,Ellis  7,2010/2011,not qualified
"Thu, 10 Mar",@New Jersey,L94-90,28-36,Lee  17,Lee  10,Ellis  4,2010/2011,not qualified
"Sat, 12 Mar",vs Orlando,W123-120 OT,29-36,Ellis  39,Ellis  6,Curry  12,2010/2011,not qualified
"Mon, 14 Mar",vs Minnesota,W100-77,30-36,Curry  24,Curry  9,Curry  6,2010/2011,not qualified
"Tue, 15 Mar",@ Sacramento,L129-119,30-37,Thornton  23,Radmanovic  4,Ellis  9,2010/2011,not qualified
"Thu, 17 Mar",vs Dallas,L112-106,30-38,Ellis  26,Lee  9,Ellis  11,2010/2011,not qualified
"Sat, 19 Mar",@ Phoenix,L108-97,30-39,Wright  30,Lee  10,Curry  5,2010/2011,not qualified
"Sun, 20 Mar",@ Dallas,L101-73,30-40,Ellis  18,Lee  12,Curry  6,2010/2011,not qualified
"Tue, 22 Mar",@ San Antonio,L111-96,30-41,Udoh  15,Lee  9,Ellis  4,2010/2011,not qualified
"Thu, 24 Mar",@ Houston,L131-112,30-42,Wright  34,Lee  9,Wright  6,2010/2011,not qualified
"Sat, 26 Mar",vs Toronto,W138-100,31-42,Ellis  27,Lee  7,Ellis  10,2010/2011,not qualified
"Mon, 28 Mar",vs Washington,W114-104,32-42,Ellis  37,Lee  12,Ellis  13,2010/2011,not qualified
"Wed, 30 Mar",@ Oklahoma City,L115-114 OT,32-43,Curry  35,Lee  15,Ellis  11,2010/2011,not qualified
"Thu, 31 Mar",@ Memphis,L110-91,32-44,Ellis  16,Lee  9,Curry  9,2010/2011,not qualified
"Sun, 3 Apr",vs Dallas,W99-92,33-44,Ellis  32,Amundson  10,Curry  8,2010/2011,not qualified
"Wed, 6 Apr",@ Portland,W108-87,34-44,Ellis  30,Lee  20,Ellis  5,2010/2011,not qualified
"Thu, 7 Apr",vs Los Angeles,W95-87,35-44,Ellis  26,Lee  17,Ellis  6,2010/2011,not qualified
"Mon, 11 Apr",vs Sacramento,L104-103,35-45,Curry  27,Lee  14,Curry  8,2010/2011,not qualified
"Tue, 12 Apr",@ Denver,L134-111,35-46,Curry  27,Amundson  6,Curry  5,2010/2011,not qualified
"Thu, 14 Apr",vs Portland,W110-86,36-46,Williams  28,Udoh  8,Curry  9,2010/2011,not qualified
"Mon, 26 Dec",vs LA,L105-86,0-1,Lee  21,Lee  12,Ellis  8,2011/2012,not qualified
"Tue, 27 Dec",vs Chicago,W99-91,1-1,Ellis  26,Lee  7,Curry  10,2011/2012,not qualified
"Thu, 29 Dec",vs New York,W92-78,2-1,Ellis  22,Brown  10,Ellis  8,2011/2012,not qualified
"Sun, 1 Jan",vs Philadelphia,L107-79,2-2,Curry  21,Udoh  9,Smith  5,2011/2012,not qualified
"Mon, 2 Jan",@ Phoenix,L102-91,2-3,Ellis  18,McGuire  9,Ellis  11,2011/2012,not qualified
"Thu, 5 Jan",@ San Antonio,L101-95,2-4,Ellis  38,Lee  10,Curry  8,2011/2012,not qualified
"Sat, 7 Jan",@ Los Angeles,L97-90,2-5,Ellis  18,Lee  11,Ellis  10,2011/2012,not qualified
"Sun, 8 Jan",vs Utah,L88-87,2-6,Ellis  32,Lee  15,Ellis  6,2011/2012,not qualified
"Wed, 11 Jan",vs Miami,W111-106 OT,3-6,Robinson  24,Lee  14,Robinson  5,2011/2012,not qualified
"Fri, 13 Jan",vs Orlando,L117-109,3-7,Ellis  30,Lee  12,Ellis  11,2011/2012,not qualified
"Sun, 15 Jan",@Charlotte,L112-100,3-8,Lee  24,Lee  16,Ellis  6,2011/2012,not qualified
"Sun, 15 Jan",@ Detroit,W99-91,4-8,Lee  24,Wright  11,Ellis  7,2011/2012,not qualified
"Wed, 18 Jan",@ Cleveland,W105-95,5-8,Lee  29,Biedrins  11,Robinson  10,2011/2012,not qualified
"Thu, 19 Jan",@New Jersey,L107-100,5-9,Ellis  30,Lee  11,Robinson  7,2011/2012,not qualified
"Sat, 21 Jan",vs Indiana,L94-91,5-10,Ellis  25,Lee  14,Ellis  6,2011/2012,not qualified
"Tue, 24 Jan",vs Memphis,L91-90,5-11,Ellis  20,Lee  12,Robinson  6,2011/2012,not qualified
"Thu, 26 Jan",vs Portland,W101-93,6-11,Curry  32,Udoh  7,Ellis  12,2011/2012,not qualified
"Sat, 28 Jan",vs Oklahoma City,L120-109,6-12,Wright  23,Wright  9,Curry  6,2011/2012,not qualified
"Wed, 1 Feb",vs Sacramento,W93-90,7-12,Rush  20,Rush  6,Curry  8,2011/2012,not qualified
"Fri, 3 Feb",vs Utah,W119-101,8-12,Ellis  33,Lee  14,Curry  12,2011/2012,not qualified
"Sun, 5 Feb",@ Sacramento,L114-106 OT,8-13,Wright  24,Lee  5,Curry  9,2011/2012,not qualified
"Wed, 8 Feb",vs Oklahoma City,L119-116,8-14,Ellis  48,Lee  11,Lee  10,2011/2012,not qualified
"Fri, 10 Feb",@ Denver,W109-101,9-14,Curry  36,Lee  8,Curry  7,2011/2012,not qualified
"Mon, 13 Feb",vs Houston,W106-97,10-14,Ellis  33,Lee  13,Ellis  7,2011/2012,not qualified
"Tue, 14 Feb",vs Phoenix,W102-96,11-14,Lee  28,Lee  12,Curry  5,2011/2012,not qualified
"Thu, 16 Feb",vs Portland,L93-91,11-15,Lee  29,Lee  11,Curry  8,2011/2012,not qualified
"Sat, 18 Feb",@ Oklahoma City,L110-87,11-16,Lee  23,Wright  11,Curry  4,2011/2012,not qualified
"Sun, 19 Feb",@ Memphis,L104-103,11-17,Curry  36,Lee  9,Curry  6,2011/2012,not qualified
"Tue, 21 Feb",vs LA,W104-97,12-17,Ellis  32,Lee  13,Curry  6,2011/2012,not qualified
"Thu, 23 Feb",@ Phoenix,W106-104,13-17,Ellis  26,McGuire  9,Ellis  6,2011/2012,not qualified
"Wed, 29 Feb",@ Indiana,L102-78,13-18,Rush  14,Rush  7,Lee  4,2011/2012,not qualified
"Thu, 1 Mar",@ Atlanta,W85-82,14-18,Ellis  24,McGuire  15,Ellis  8,2011/2012,not qualified
"Sat, 3 Mar",@ Philadelphia,L105-83,14-19,Lee  24,Lee  15,Ellis  7,2011/2012,not qualified
"Sun, 4 Mar",@ Toronto,L83-75,14-20,Lee  22,Lee  12,Ellis  7,2011/2012,not qualified
"Tue, 6 Mar",@ Washington,W120-100,15-20,Ellis  25,Lee  10,Ellis  8,2011/2012,not qualified
"Thu, 8 Mar",vs Memphis,L110-92,15-21,Thompson  16,Thompson  6,Udoh  4,2011/2012,not qualified
"Sun, 11 Mar",vs Dallas,W111-87,16-21,Lee  25,Lee  9,Ellis  8,2011/2012,not qualified
"Mon, 12 Mar",@ LA,W97-93,17-21,Ellis  21,Lee  10,Ellis  11,2011/2012,not qualified
"Wed, 14 Mar",@ Sacramento,W115-89,18-21,Lee  17,Wright  10,Thompson  5,2011/2012,not qualified
"Thu, 15 Mar",vs Boston,L105-103,18-22,Thompson  26,Lee  8,Robinson  11,2011/2012,not qualified
