DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,season,post_season_qualification
"Wed, 13 Nov",vs Detroit,W113-95,5-3,Curry  25,Lee  9,Iguodala  11,2013/2014,qualified
"Fri, 15 Nov",vs Oklahoma City,W116-115,6-3,Thompson  27,Bogut  7,Curry  9,2013/2014,qualified
"Sun, 17 Nov",vs Utah,W102-88,7-3,Thompson  25,Bogut  11,Curry  11,2013/2014,qualified
"Tue, 19 Nov",@ Utah,W98-87,8-3,Curry  22,Lee  14,Curry  8,2013/2014,qualified
"Thu, 21 Nov",vs Memphis,L88-81 OT,8-4,Thompson  21,Bogut  14,Iguodala  14,2013/2014,qualified
"Sat, 23 Nov",@ Los Angeles,L102-95,8-5,Lee  21,Lee  13,Iguodala  6,2013/2014,qualified
"Sun, 24 Nov",vs Portland,L113-101,8-6,Thompson  30,Lee  12,Curry  11,2013/2014,qualified
"Wed, 27 Nov",@ New Orleans,W102-101,9-6,Thompson  22,O'Neal  8,Curry  9,2013/2014,qualified
"Thu, 28 Nov",@ Dallas,L103-99,9-7,Curry  29,Lee  12,Curry  8,2013/2014,qualified
"Sat, 30 Nov",@ Oklahoma City,L113-112 OT,9-8,Curry  32,Lee  12,Curry  5,2013/2014,qualified
"Sun, 1 Dec",@ Sacramento,W115-113,10-8,Curry  36,Bogut  12,Curry  10,2013/2014,qualified
"Wed, 4 Dec",vs Toronto,W112-103,11-8,Curry  27,Lee  8,Curry  10,2013/2014,qualified
"Sat, 7 Dec",@ Houston,L105-83,11-9,Curry  22,Green  8,Curry  5,2013/2014,qualified
"Sun, 8 Dec",@ Memphis,W108-82,12-9,Thompson  30,Bogut  12,Curry  15,2013/2014,qualified
"Tue, 10 Dec",@Charlotte,L115-111,12-10,Curry  43,Lee  16,Curry  9,2013/2014,qualified
"Thu, 12 Dec",vs Dallas,W95-93,13-10,Curry  33,Bogut  18,Curry  10,2013/2014,qualified
"Sat, 14 Dec",vs Houston,L116-112,13-11,Lee  23,Barnes  12,Curry  9,2013/2014,qualified
"Mon, 16 Dec",@ Phoenix,L106-102,13-12,Curry  30,Bogut  14,Curry  7,2013/2014,qualified
"Wed, 18 Dec",vs New Orleans,W104-93,14-12,Curry  28,Lee  17,Curry  11,2013/2014,qualified
"Fri, 20 Dec",vs San Antonio,L104-102,14-13,Lee  32,Bogut  18,Curry  15,2013/2014,qualified
"Sun, 22 Dec",vs Los Angeles,W102-83,15-13,Lee  19,Bogut  20,Curry  10,2013/2014,qualified
"Tue, 24 Dec",@ Denver,W89-81,16-13,Lee  28,Bogut  11,Curry  7,2013/2014,qualified
"Thu, 26 Dec",vs LA,W105-103,17-13,Lee  23,Bogut  14,Curry  11,2013/2014,qualified
"Sat, 28 Dec",vs Phoenix,W115-86,18-13,Thompson  21,Curry  13,Curry  16,2013/2014,qualified
"Sun, 29 Dec",@ Cleveland,W108-104 OT,19-13,Curry  29,Green  12,Curry  11,2013/2014,qualified
"Tue, 31 Dec",@ Orlando,W94-81,20-13,Lee  22,Bogut  11,Curry  8,2013/2014,qualified
"Fri, 3 Jan",@ Miami,W123-114,21-13,Curry  36,Lee  14,Curry  12,2013/2014,qualified
"Sat, 4 Jan",@ Atlanta,W101-100,22-13,Lee  23,Bogut  9,Curry  9,2013/2014,qualified
"Sun, 5 Jan",@ Washington,W112-96,23-13,Thompson  26,Lee  11,Curry  10,2013/2014,qualified
"Wed, 8 Jan",@ Milwaukee,W101-80,24-13,Lee  22,Lee  18,Curry  6,2013/2014,qualified
"Thu, 9 Jan",@ Brooklyn,L102-98,24-14,Curry  34,Bogut  9,Curry  7,2013/2014,qualified
"Sat, 11 Jan",vs Boston,W99-97,25-14,Iguodala  22,Bogut  13,Iguodala  7,2013/2014,qualified
"Thu, 16 Jan",vs Denver,L123-116,25-15,Lee  28,Lee  11,Curry  7,2013/2014,qualified
"Sat, 18 Jan",@ Oklahoma City,L127-121,25-16,Curry  37,Lee  9,Curry  11,2013/2014,qualified
"Sun, 19 Jan",@ New Orleans,W97-87,26-16,Curry  28,Bogut  15,Curry  8,2013/2014,qualified
"Tue, 21 Jan",vs Indiana,L102-94,26-17,Curry  24,Bogut  13,Curry  9,2013/2014,qualified
"Sat, 25 Jan",vs Minnesota,L121-120,26-18,Curry  33,Bogut  11,Curry  15,2013/2014,qualified
"Mon, 27 Jan",vs Portland,W103-88,27-18,Curry  38,Lee  12,Curry  8,2013/2014,qualified
"Wed, 29 Jan",vs Washington,L88-85,27-19,Curry  23,Bogut  14,Curry  4,2013/2014,qualified
"Fri, 31 Jan",vs LA,W111-92,28-19,Lee  22,Bogut  17,Curry  7,2013/2014,qualified
"Sat, 1 Feb",@ Utah,W95-90,29-19,Curry  44,Bogut  17,Bogut  5,2013/2014,qualified
"Wed, 5 Feb",vsCharlotte,L91-75,29-20,Curry  17,Bogut  15,Curry  11,2013/2014,qualified
"Fri, 7 Feb",vs Chicago,W102-87,30-20,Curry  34,Iguodala  8,Curry  9,2013/2014,qualified
"Sun, 9 Feb",@ Phoenix,L122-109,30-21,Curry  28,Iguodala  8,Curry  9,2013/2014,qualified
"Tue, 11 Feb",vs Philadelphia,W123-80,31-21,Speights  32,Lee  13,Curry  8,2013/2014,qualified
"Thu, 13 Feb",vs Miami,L111-110,31-22,Curry  29,Lee  11,Curry  7,2013/2014,qualified
"Thu, 20 Feb",@ Sacramento,W101-92,32-22,Lee  23,Lee  11,Curry  8,2013/2014,qualified
"Fri, 21 Feb",vs Houston,W102-99 OT,33-22,Lee  28,Lee  14,Iguodala  7,2013/2014,qualified
"Sun, 23 Feb",vs Brooklyn,W93-86,34-22,O'Neal  23,O'Neal  13,Curry  8,2013/2014,qualified
"Tue, 25 Feb",@ Detroit,W104-96,35-22,Curry  19,O'Neal  10,Curry  9,2013/2014,qualified
"Thu, 27 Feb",@ Chicago,L103-83,35-23,Crawford  16,Iguodala  7,Curry  5,2013/2014,qualified
"Sat, 1 Mar",@ New York,W126-103,36-23,Curry  27,Curry  11,Curry  11,2013/2014,qualified
"Sun, 2 Mar",@ Toronto,L104-98,36-24,Curry  34,Lee  11,Curry  7,2013/2014,qualified
"Wed, 5 Mar",@ Indiana,W98-96,37-24,Thompson  25,Curry  8,Curry  6,2013/2014,qualified
"Thu, 6 Mar",@ Boston,W108-88,38-24,Lee  18,Lee  10,Blake  6,2013/2014,qualified
"Sat, 8 Mar",vs Atlanta,W111-97,39-24,Lee  18,Bogut  9,Curry  7,2013/2014,qualified
"Mon, 10 Mar",vs Phoenix,W113-107,40-24,Lee  26,Lee  9,Curry  9,2013/2014,qualified
"Wed, 12 Mar",vs Dallas,W108-85,41-24,Crawford  19,Bogut  10,Blake  8,2013/2014,qualified
"Thu, 13 Mar",@ LA,L111-98,41-25,Thompson  26,Lee  7,Curry  11,2013/2014,qualified
"Sat, 15 Mar",vs Cleveland,L103-94,41-26,Curry  27,Bogut  12,Curry  8,2013/2014,qualified
"Mon, 17 Mar",@ Portland,W113-112,42-26,Curry  37,Green  8,Curry  5,2013/2014,qualified
"Wed, 19 Mar",vs Orlando,W103-89,43-26,Curry  23,Lee  10,Curry  5,2013/2014,qualified
"Fri, 21 Mar",vs Milwaukee,W115-110,44-26,Curry  31,Lee  12,Curry  10,2013/2014,qualified
"Sun, 23 Mar",vs San Antonio,L99-90,44-27,Curry  20,Bogut  17,Curry  6,2013/2014,qualified
"Sat, 29 Mar",vs Memphis,W100-93,45-27,Curry  33,Green  9,Curry  8,2013/2014,qualified
"Mon, 31 Mar",vs New York,L89-84,45-28,Curry  32,O'Neal  12,Iguodala  6,2013/2014,qualified
"Wed, 2 Apr",@ Dallas,W122-120 OT,46-28,Thompson  27,Speights  9,Curry  10,2013/2014,qualified
"Thu, 3 Apr",@ San Antonio,L111-90,46-29,Speights  22,Speights  9,Curry  10,2013/2014,qualified
"Sat, 5 Apr",vs Sacramento,W102-69,47-29,Thompson  21,Speights  10,Curry  5,2013/2014,qualified
"Mon, 7 Apr",vs Utah,W130-102,48-29,Thompson  33,Bogut  11,Curry  16,2013/2014,qualified
"Fri, 11 Apr",vs Denver,L100-99,48-30,Curry  24,Bogut  8,Curry  6,2013/2014,qualified
"Sat, 12 Apr",@ Los Angeles,W112-95,49-30,Curry  30,Curry  10,Curry  12,2013/2014,qualified
"Mon, 14 Apr",@ Portland,L119-117 OT,49-31,Curry  47,Bogut  9,Curry  5,2013/2014,qualified
"Tue, 15 Apr",vs Minnesota,W130-120,50-31,Curry  32,Green  12,Curry  15,2013/2014,qualified
"Thu, 30 Oct",@ Sacramento,W95-77,1-0,Curry  24,Curry  10,Thompson  6,2014/2015,qualified
"Sun, 2 Nov",vs Los Angeles,W127-104,2-0,Thompson  41,Bogut  10,Curry  10,2014/2015,qualified
"Mon, 3 Nov",@ Portland,W95-90,3-0,Thompson  29,Bogut  12,Curry  6,2014/2015,qualified
"Thu, 6 Nov",vs LA,W121-104,4-0,Curry  28,Bogut  14,Curry  7,2014/2015,qualified
"Sun, 9 Nov",@ Houston,W98-87,5-0,Curry  34,Bogut  18,Thompson  6,2014/2015,qualified
"Mon, 10 Nov",@ Phoenix,L107-95,5-1,Curry  28,Green  9,Curry  10,2014/2015,qualified
"Wed, 12 Nov",vs San Antonio,L113-100,5-2,Thompson  29,Barnes  8,Curry  5,2014/2015,qualified
"Fri, 14 Nov",vs Brooklyn,W107-99,6-2,Thompson  25,Bogut  14,Green  7,2014/2015,qualified
"Sun, 16 Nov",vs Charlotte,W112-87,7-2,Thompson  21,Bogut  9,Curry  9,2014/2015,qualified
"Mon, 17 Nov",@ Los Angeles,W136-115,8-2,Curry  30,Bogut  10,Curry  15,2014/2015,qualified
"Sat, 22 Nov",vs Utah,W101-88,9-2,Iguodala  17,Barnes  11,Curry  10,2014/2015,qualified
"Mon, 24 Nov",@ Oklahoma City,W91-86,10-2,Speights  28,Green  9,Curry  6,2014/2015,qualified
"Wed, 26 Nov",@ Miami,W114-97,11-2,Curry  40,Bogut  10,Curry  7,2014/2015,qualified
"Thu, 27 Nov",@ Orlando,W111-96,12-2,Curry  28,Bogut  12,Curry  8,2014/2015,qualified
"Sat, 29 Nov",@ Charlotte,W106-101,13-2,Speights  27,Green  10,Curry  6,2014/2015,qualified
"Sun, 30 Nov",@ Detroit,W104-93,14-2,Green  20,Speights  12,Curry  10,2014/2015,qualified
"Wed, 3 Dec",vs Orlando,W98-97,15-2,Curry  22,Barnes  12,Green  6,2014/2015,qualified
"Fri, 5 Dec",vs New Orleans,W112-85,16-2,Thompson  23,Green  14,Curry  11,2014/2015,qualified
"Sun, 7 Dec",@ Chicago,W112-102,17-2,Green  31,Bogut  12,Curry  7,2014/2015,qualified
"Tue, 9 Dec",@ Minnesota,W102-86,18-2,Curry  21,Green  10,Curry  7,2014/2015,qualified
"Thu, 11 Dec",vs Houston,W105-93,19-2,Thompson  21,Speights  8,Curry  7,2014/2015,qualified
"Sat, 13 Dec",@ Dallas,W105-98,20-2,Curry  29,Barnes  9,Curry  8,2014/2015,qualified
"Sun, 14 Dec",@ New Orleans,W128-122 OT,21-2,Curry  34,Green  13,Curry  7,2014/2015,qualified
"Wed, 17 Dec",@ Memphis,L105-98,21-3,Thompson  22,Green  10,Curry  6,2014/2015,qualified
"Fri, 19 Dec",vs Oklahoma City,W114-109,22-3,Curry  34,Green  9,Curry  9,2014/2015,qualified
"Tue, 23 Dec",vs Sacramento,W128-108,23-3,Thompson  25,Barnes  8,Curry  11,2014/2015,qualified
"Wed, 24 Dec",@ Los Angeles,L115-105,23-4,Curry  22,Lee  7,Curry  6,2014/2015,qualified
"Fri, 26 Dec",@ LA,L100-86,23-5,Thompson  15,Barnes  13,Curry  7,2014/2015,qualified
"Sun, 28 Dec",vs Minnesota,W110-97,24-5,Curry  25,Green  8,Curry  6,2014/2015,qualified
"Wed, 31 Dec",vs Philadelphia,W126-86,25-5,Speights  23,Green  10,Curry  9,2014/2015,qualified
"Sat, 3 Jan",vs Toronto,W126-105,26-5,Curry  32,Green  11,Green  13,2014/2015,qualified
"Tue, 6 Jan",vs Oklahoma City,W117-91,27-5,Barnes  23,Green  13,Curry  6,2014/2015,qualified
"Thu, 8 Jan",vs Indiana,W117-102,28-5,Thompson  40,Green  9,Curry  15,2014/2015,qualified
"Sat, 10 Jan",vs Cleveland,W112-94,29-5,Thompson  24,Green  11,Curry  10,2014/2015,qualified
"Wed, 14 Jan",@ Utah,W116-105,30-5,Curry  27,Lee  8,Curry  11,2014/2015,qualified
"Thu, 15 Jan",vs Miami,W104-89,31-5,Curry  32,Lee  6,Iguodala  7,2014/2015,qualified
"Sat, 17 Jan",@ Oklahoma City,L127-115,31-6,Thompson  32,Green  9,Curry  6,2014/2015,qualified
"Sun, 18 Jan",@ Houston,W131-106,32-6,Curry  27,Lee  8,Curry  11,2014/2015,qualified
"Mon, 19 Jan",vs Denver,W122-79,33-6,Thompson  22,Lee  10,Curry  8,2014/2015,qualified
"Thu, 22 Jan",vs Houston,W126-113,34-6,Thompson  27,Lee  10,Curry  10,2014/2015,qualified
"Sat, 24 Jan",vs Sacramento,W126-101,35-6,Thompson  52,Lee  9,Curry  11,2014/2015,qualified
"Mon, 26 Jan",vs Boston,W114-111,36-6,Thompson  31,Bogut  13,Curry  11,2014/2015,qualified
"Wed, 28 Jan",vs Chicago,L113-111 OT,36-7,Thompson  30,Thompson  10,Curry  9,2014/2015,qualified
"Sat, 31 Jan",@ Utah,L110-100,36-8,Curry  32,Speights  8,Curry  6,2014/2015,qualified
"Sun, 1 Feb",vs Phoenix,W106-87,37-8,Curry  25,Green  11,Curry  7,2014/2015,qualified
"Wed, 4 Feb",@ Sacramento,W121-96,38-8,Curry  23,Speights  8,Curry  9,2014/2015,qualified
"Thu, 5 Feb",vs Dallas,W128-114,39-8,Curry  51,Green  10,Green  6,2014/2015,qualified
"Sat, 7 Feb",@ Atlanta,L124-116,39-9,Thompson  29,Green  20,Curry  9,2014/2015,qualified
"Sun, 8 Feb",@ New York,W106-92,40-9,Curry  22,Green  13,Lee  5,2014/2015,qualified
"Tue, 10 Feb",@ Philadelphia,W89-84,41-9,Curry  20,Bogut  9,Curry  6,2014/2015,qualified
"Thu, 12 Feb",@ Minnesota,W94-91,42-9,Curry  25,Green  13,Curry  8,2014/2015,qualified
"Sat, 21 Feb",vs San Antonio,W110-99,43-9,Curry  25,Iguodala  6,Curry  11,2014/2015,qualified
"Sun, 22 Feb",@ Indiana,L104-98,43-10,Thompson  39,Lee  12,Iguodala  4,2014/2015,qualified
"Wed, 25 Feb",@ Washington,W114-107,44-10,Curry  32,Lee  10,Curry  8,2014/2015,qualified
"Fri, 27 Feb",@ Cleveland,L110-99,44-11,Lee  19,Green  8,Curry  6,2014/2015,qualified
"Sat, 28 Feb",@ Toronto,W113-89,45-11,Thompson  25,Green  9,Livingston  8,2014/2015,qualified
"Sun, 1 Mar",@ Boston,W106-101,46-11,Curry  37,Green  11,Curry  5,2014/2015,qualified
"Tue, 3 Mar",@ Brooklyn,L110-108,46-12,Curry  26,Green  11,Curry  7,2014/2015,qualified
"Thu, 5 Mar",vs Milwaukee,W102-93,47-12,Green  23,Green  12,Curry  11,2014/2015,qualified
"Sat, 7 Mar",vs Dallas,W104-89,48-12,Curry  22,Bogut  13,Curry  7,2014/2015,qualified
"Sun, 8 Mar",vs LA,W106-98,49-12,Green  23,Livingston  8,Green  6,2014/2015,qualified
"Tue, 10 Mar",@ Phoenix,W98-80,50-12,Curry  36,Green  10,Curry  5,2014/2015,qualified
"Thu, 12 Mar",vs Detroit,W105-98,51-12,Thompson  27,Green  7,Curry  11,2014/2015,qualified
"Sat, 14 Mar",@ Denver,L114-103,51-13,Holiday  23,Green  6,Barbosa  9,2014/2015,qualified
"Sun, 15 Mar",vs New York,W125-94,52-13,Thompson  27,Green  7,Curry  11,2014/2015,qualified
"Tue, 17 Mar",vs Los Angeles,W108-105,53-13,Thompson  26,Green  8,Curry  9,2014/2015,qualified
"Thu, 19 Mar",vs Atlanta,W114-95,54-13,Barnes  25,Bogut  14,Curry  12,2014/2015,qualified
"Sat, 21 Mar",vs New Orleans,W112-96,55-13,Barnes  22,Green  8,Curry  11,2014/2015,qualified
"Sun, 22 Mar",vs Utah,W106-91,56-13,Curry  24,Bogut  8,Green  7,2014/2015,qualified
"Tue, 24 Mar",vs Washington,W107-76,57-13,Curry  24,Bogut  12,Curry  6,2014/2015,qualified
"Wed, 25 Mar",@ Portland,W122-108,58-13,Curry  33,Bogut  16,Curry  10,2014/2015,qualified
"Sat, 28 Mar",@ Memphis,W107-84,59-13,Curry  38,Ezeli  8,Curry  10,2014/2015,qualified
"Sun, 29 Mar",@ Milwaukee,W108-95,60-13,Curry  25,Speights  7,Livingston  8,2014/2015,qualified
"Wed, 1 Apr",@ LA,W110-106,61-13,Curry  27,Bogut  9,Iguodala  7,2014/2015,qualified
"Fri, 3 Apr",vs Phoenix,W107-106,62-13,Curry  28,Bogut  9,Thompson  6,2014/2015,qualified
"Sun, 5 Apr",@ Dallas,W123-110,63-13,Thompson  21,Bogut  11,Livingston  5,2014/2015,qualified
"Mon, 6 Apr",@ San Antonio,L107-92,63-14,Curry  24,Bogut  7,Curry  6,2014/2015,qualified
"Wed, 8 Apr",@ New Orleans,L103-100,63-15,Curry  25,Green  14,Curry  9,2014/2015,qualified
"Fri, 10 Apr",vs Portland,W116-105,64-15,Curry  45,Green  14,Curry  10,2014/2015,qualified
"Sun, 12 Apr",vs Minnesota,W110-101,65-15,Curry  34,Green  14,Curry  7,2014/2015,qualified
"Tue, 14 Apr",vs Memphis,W111-107,66-15,Thompson  42,Green  9,Curry  8,2014/2015,qualified
"Wed, 28 Oct",vs New Orleans,W111-95,1-0,Curry  40,Barnes  9,Curry  7,2015/2016,qualified
"Sat, 31 Oct",@ Houston,W112-92,2-0,Curry  25,Curry  7,Green  7,2015/2016,qualified
"Sat, 31 Oct",@ New Orleans,W134-120,3-0,Curry  53,Barnes  7,Curry  9,2015/2016,qualified
"Tue, 3 Nov",vs Memphis,W119-69,4-0,Curry  30,Ezeli  10,Green  8,2015/2016,qualified
"Thu, 5 Nov",vs LA,W112-108,5-0,Curry  31,Barnes  9,Thompson  5,2015/2016,qualified
"Sat, 7 Nov",vs Denver,W119-104,6-0,Curry  34,Green  9,Curry  10,2015/2016,qualified
"Sun, 8 Nov",@ Sacramento,W103-94,7-0,Curry  24,Ezeli  12,Green  7,2015/2016,qualified
"Tue, 10 Nov",vs Detroit,W109-95,8-0,Thompson  24,Green  10,Green  9,2015/2016,qualified
"Thu, 12 Nov",@ Memphis,W100-84,9-0,Curry  28,Thompson  7,Curry  5,2015/2016,qualified
"Fri, 13 Nov",@ Minnesota,W129-116,10-0,Curry  46,Green  8,Green  12,2015/2016,qualified
"Sun, 15 Nov",vs Brooklyn,W107-99 OT,11-0,Curry  34,Bogut  18,Green  12,2015/2016,qualified
"Wed, 18 Nov",vs Toronto,W115-110,12-0,Curry  37,Green  9,Curry  9,2015/2016,qualified
"Fri, 20 Nov",@ LA,W124-117,13-0,Curry  40,Curry  11,Green  9,2015/2016,qualified
"Sat, 21 Nov",vs Chicago,W106-94,14-0,Curry  27,Barnes  9,Green  5,2015/2016,qualified
"Mon, 23 Nov",@ Denver,W118-105,15-0,Thompson  21,Green  7,Thompson  7,2015/2016,qualified
"Wed, 25 Nov",vs Los Angeles,W111-77,16-0,Curry  24,Iguodala  9,Curry  9,2015/2016,qualified
"Sat, 28 Nov",@ Phoenix,W135-116,17-0,Curry  41,Green  10,Green  10,2015/2016,qualified
"Sun, 29 Nov",vs Sacramento,W120-101,18-0,Curry  19,Green  11,Green  12,2015/2016,qualified
"Tue, 1 Dec",@ Utah,W106-103,19-0,Curry  26,Green  12,Green  8,2015/2016,qualified
"Thu, 3 Dec",@ Charlotte,W116-99,20-0,Curry  40,Green  11,Green  9,2015/2016,qualified
"Sat, 5 Dec",@ Toronto,W112-109,21-0,Curry  44,Ezeli  10,Curry  7,2015/2016,qualified
"Sun, 6 Dec",@ Brooklyn,W114-98,22-0,Curry  28,Green  9,Green  7,2015/2016,qualified
"Wed, 9 Dec",@ Indiana,W131-123,23-0,Thompson  39,Bogut  10,Curry  10,2015/2016,qualified
"Sat, 12 Dec",@ Boston,W124-119 2OT,24-0,Curry  38,Ezeli  12,Curry  8,2015/2016,qualified
"Sun, 13 Dec",@ Milwaukee,L108-95,24-1,Curry  28,Green  11,Curry  5,2015/2016,qualified
"Thu, 17 Dec",vs Phoenix,W128-103,25-1,Thompson  43,Bogut  12,Green  10,2015/2016,qualified
"Sat, 19 Dec",vs Milwaukee,W121-112,26-1,Thompson  27,Curry  10,Curry  9,2015/2016,qualified
"Thu, 24 Dec",vs Utah,W103-85,27-1,Thompson  20,Bogut  13,Curry  9,2015/2016,qualified
"Fri, 25 Dec",vs Cleveland,W89-83,28-1,Green  22,Green  15,Green  7,2015/2016,qualified
"Tue, 29 Dec",vs Sacramento,W122-103,29-1,Thompson  29,Curry  14,Curry  10,2015/2016,qualified
"Thu, 31 Dec",@ Dallas,L114-91,29-2,Clark  21,Bogut  10,Green  4,2015/2016,qualified
"Fri, 1 Jan",@ Houston,W114-110,30-2,Thompson  38,Green  11,Green  16,2015/2016,qualified
"Sun, 3 Jan",vs Denver,W111-108 OT,31-2,Green  29,Green  17,Green  14,2015/2016,qualified
"Tue, 5 Jan",vs Charlotte,W111-101,32-2,Thompson  30,Green  15,Green  10,2015/2016,qualified
"Wed, 6 Jan",@ Los Angeles,W109-88,33-2,Thompson  36,Green  12,Curry  6,2015/2016,qualified
"Sat, 9 Jan",@ Portland,W128-108,34-2,Thompson  36,Green  13,Green  10,2015/2016,qualified
"Sun, 10 Jan",@ Sacramento,W128-116,35-2,Curry  38,Bogut  11,Curry  11,2015/2016,qualified
"Tue, 12 Jan",vs Miami,W111-103,36-2,Curry  31,Green  12,Curry  6,2015/2016,qualified
"Thu, 14 Jan",@ Denver,L112-110,36-3,Curry  38,Bogut  7,Curry  9,2015/2016,qualified
"Fri, 15 Jan",vs Los Angeles,W116-98,37-3,Curry  26,Green  9,Green  5,2015/2016,qualified
"Sun, 17 Jan",@ Detroit,L113-95,37-4,Curry  38,Ezeli  10,Green  9,2015/2016,qualified
"Tue, 19 Jan",@ Cleveland,W132-98,38-4,Curry  35,Green  7,Green  10,2015/2016,qualified
"Thu, 21 Jan",@ Chicago,W125-94,39-4,Curry  25,Bogut  12,Curry  11,2015/2016,qualified
"Sat, 23 Jan",vs Indiana,W122-110,40-4,Curry  39,Green  11,Curry  12,2015/2016,qualified
"Tue, 26 Jan",vs San Antonio,W120-90,41-4,Curry  37,Green  9,Green  6,2015/2016,qualified
"Thu, 28 Jan",vs Dallas,W127-107,42-4,Thompson  45,Bogut  9,Curry  9,2015/2016,qualified
"Sat, 30 Jan",@ Philadelphia,W108-105,43-4,Thompson  32,Bogut  16,Green  9,2015/2016,qualified
"Mon, 1 Feb",@ New York,W116-95,44-4,Thompson  34,Bogut  12,Green  10,2015/2016,qualified
"Thu, 4 Feb",@ Washington,W134-121,45-4,Curry  51,Green  10,Green  12,2015/2016,qualified
"Sun, 7 Feb",vs Oklahoma City,W116-108,46-4,Curry  26,Green  15,Curry  10,2015/2016,qualified
"Wed, 10 Feb",vs Houston,W123-110,47-4,Curry  35,Bogut  11,Curry  9,2015/2016,qualified
"Thu, 11 Feb",@ Phoenix,W112-104,48-4,Curry  26,Curry  9,Curry  9,2015/2016,qualified
"Sat, 20 Feb",@ Portland,L137-105,48-5,Curry  31,Green  12,Green  8,2015/2016,qualified
"Sun, 21 Feb",@ LA,W115-112,49-5,Thompson  32,Green  11,Green  10,2015/2016,qualified
"Tue, 23 Feb",@ Atlanta,W102-92,50-5,Curry  36,Green  14,Green  9,2015/2016,qualified
"Thu, 25 Feb",@ Miami,W118-112,51-5,Curry  42,Green  11,Curry  7,2015/2016,qualified
"Fri, 26 Feb",@ Orlando,W130-114,52-5,Curry  51,Curry  7,Curry  8,2015/2016,qualified
"Sun, 28 Feb",@ Oklahoma City,W121-118 OT,53-5,Curry  46,Green  14,Green  14,2015/2016,qualified
"Wed, 2 Mar",vs Atlanta,W109-105 OT,54-5,Thompson  26,Green  13,Green  9,2015/2016,qualified
"Fri, 4 Mar",vs Oklahoma City,W121-106,55-5,Curry  33,Green  8,Livingston  8,2015/2016,qualified
"Sun, 6 Mar",@ Los Angeles,L112-95,55-6,Curry  18,Green  10,Green  9,2015/2016,qualified
"Tue, 8 Mar",vs Orlando,W119-113,56-6,Curry  41,Curry  13,Green  10,2015/2016,qualified
"Thu, 10 Mar",vs Utah,W115-94,57-6,Thompson  23,Green  7,Curry  10,2015/2016,qualified
"Sat, 12 Mar",vs Portland,W128-112,58-6,Thompson  37,Green  13,Green  7,2015/2016,qualified
"Sun, 13 Mar",vs Phoenix,W123-116,59-6,Curry  35,Speights  9,Curry  6,2015/2016,qualified
"Tue, 15 Mar",vs New Orleans,W125-107,60-6,Curry  27,Green  12,Curry  5,2015/2016,qualified
"Thu, 17 Mar",vs New York,W121-85,61-6,Curry  34,Green  11,Green  10,2015/2016,qualified
"Sat, 19 Mar",@ Dallas,W130-112,62-6,Thompson  39,Curry  9,Curry  10,2015/2016,qualified
"Sun, 20 Mar",@ San Antonio,L87-79,62-7,Thompson  15,Green  9,Green  8,2015/2016,qualified
"Tue, 22 Mar",@ Minnesota,W109-104,63-7,Green  24,Green  9,Curry  11,2015/2016,qualified
"Thu, 24 Mar",vs LA,W114-98,64-7,Curry  33,Green  12,Curry  5,2015/2016,qualified
"Sat, 26 Mar",vs Dallas,W128-120,65-7,Thompson  40,Curry  8,Green  10,2015/2016,qualified
"Mon, 28 Mar",vs Philadelphia,W117-105,66-7,Thompson  40,Green  11,Green  11,2015/2016,qualified
"Wed, 30 Mar",vs Washington,W102-94,67-7,Curry  26,Green  16,Green  9,2015/2016,qualified
"Thu, 31 Mar",@ Utah,W103-96 OT,68-7,Curry  31,Barnes  11,Green  6,2015/2016,qualified
"Sat, 2 Apr",vs Boston,L109-106,68-8,Curry  29,Green  9,Green  7,2015/2016,qualified
"Mon, 4 Apr",vs Portland,W136-111,69-8,Curry  39,Green  10,Green  10,2015/2016,qualified
"Wed, 6 Apr",vs Minnesota,L124-117 OT,69-9,Thompson  28,Bogut  15,Curry  15,2015/2016,qualified
"Fri, 8 Apr",vs San Antonio,W112-101,70-9,Curry  27,Bogut  11,Curry  9,2015/2016,qualified
"Sun, 10 Apr",@ Memphis,W100-99,71-9,Green  23,Green  11,Curry  8,2015/2016,qualified
"Mon, 11 Apr",@ San Antonio,W92-86,72-9,Curry  37,Iguodala  7,Curry  5,2015/2016,qualified
"Wed, 26 Oct",vs San Antonio,L129-100,0-1,Durant  27,Green  12,Green  6,2016/2017,qualified
"Sat, 29 Oct",@ New Orleans,W122-114,1-1,Durant  30,Durant  17,Curry  8,2016/2017,qualified
"Sun, 30 Oct",@ Phoenix,W106-100,2-1,Durant  37,Green  13,Green  9,2016/2017,qualified
"Wed, 2 Nov",@ Portland,W127-104,3-1,Curry  28,Green  8,Green  9,2016/2017,qualified
"Fri, 4 Nov",vs Oklahoma City,W122-96,4-1,Durant  39,Green  10,Curry  7,2016/2017,qualified
"Sat, 5 Nov",@ Los Angeles,L117-97,4-2,Durant  27,Green  9,Curry  10,2016/2017,qualified
"Tue, 8 Nov",vs New Orleans,W116-106,5-2,Curry  46,Green  12,Green  11,2016/2017,qualified
"Thu, 10 Nov",vs Dallas,W116-95,6-2,Durant  28,Durant  10,Curry  6,2016/2017,qualified
"Fri, 11 Nov",@ Denver,W125-101,7-2,Curry  33,Durant  9,Curry  6,2016/2017,qualified
