date,opponent,result,w-l,hi_rebounds,hi_assists,season,hi_points_player,hi_points_scored
"Sat, 5 Mar",Boston,L107-103,27-34,Lee  12,Curry  5,2010/2011,Ellis,41
"Sun, 6 Mar",Philadelphia,L125-117 OT,27-35,Lee  14,Curry  7,2010/2011,Ellis,27
"Wed, 9 Mar",Cleveland,W95-85,28-35,Lee  14,Ellis  7,2010/2011,Ellis,24
"Thu, 10 Mar",New Jersey,L94-90,28-36,Lee  10,Ellis  4,2010/2011,Lee,17
"Sat, 12 Mar",Orlando,W123-120 OT,29-36,Ellis  6,Curry  12,2010/2011,Ellis,39
"Mon, 14 Mar",Minnesota,W100-77,30-36,Curry  9,Curry  6,2010/2011,Curry,24
"Tue, 15 Mar",Sacramento,L129-119,30-37,Radmanovic  4,Ellis  9,2010/2011,Thornton,23
"Thu, 17 Mar",Dallas,L112-106,30-38,Lee  9,Ellis  11,2010/2011,Ellis,26
"Sat, 19 Mar",Phoenix,L108-97,30-39,Lee  10,Curry  5,2010/2011,Wright,30
"Sun, 20 Mar",Dallas,L101-73,30-40,Lee  12,Curry  6,2010/2011,Ellis,18
"Tue, 22 Mar",San Antonio,L111-96,30-41,Lee  9,Ellis  4,2010/2011,Udoh,15
"Thu, 24 Mar",Houston,L131-112,30-42,Lee  9,Wright  6,2010/2011,Wright,34
"Sat, 26 Mar",Toronto,W138-100,31-42,Lee  7,Ellis  10,2010/2011,Ellis,27
"Mon, 28 Mar",Washington,W114-104,32-42,Lee  12,Ellis  13,2010/2011,Ellis,37
"Wed, 30 Mar",Oklahoma City,L115-114 OT,32-43,Lee  15,Ellis  11,2010/2011,Curry,35
"Thu, 31 Mar",Memphis,L110-91,32-44,Lee  9,Curry  9,2010/2011,Ellis,16
"Sun, 3 Apr",Dallas,W99-92,33-44,Amundson  10,Curry  8,2010/2011,Ellis,32
"Wed, 6 Apr",Portland,W108-87,34-44,Lee  20,Ellis  5,2010/2011,Ellis,30
"Thu, 7 Apr",Los Angeles,W95-87,35-44,Lee  17,Ellis  6,2010/2011,Ellis,26
"Mon, 11 Apr",Sacramento,L104-103,35-45,Lee  14,Curry  8,2010/2011,Curry,27
"Tue, 12 Apr",Denver,L134-111,35-46,Amundson  6,Curry  5,2010/2011,Curry,27
"Thu, 14 Apr",Portland,W110-86,36-46,Udoh  8,Curry  9,2010/2011,Williams,28
"Mon, 26 Dec",Los Angeles,L105-86,0-1,Lee  12,Ellis  8,2011/2012,Lee,21
"Tue, 27 Dec",Chicago,W99-91,1-1,Lee  7,Curry  10,2011/2012,Ellis,26
"Thu, 29 Dec",New York,W92-78,2-1,Brown  10,Ellis  8,2011/2012,Ellis,22
"Sun, 1 Jan",Philadelphia,L107-79,2-2,Udoh  9,Smith  5,2011/2012,Curry,21
"Mon, 2 Jan",Phoenix,L102-91,2-3,McGuire  9,Ellis  11,2011/2012,Ellis,18
